Wed Nov 2 00:39:01 WIB 2022,11,14.94,34
Wed Nov 2 00:40:01 WIB 2022,19.5,14.94,34
Wed Nov 2 00:41:01 WIB 2022,8.2,14.94,34
Wed Nov 2 00:42:01 WIB 2022,5.6,14.94,34
Wed Nov 2 00:43:01 WIB 2022,8.6,14.92,34
Wed Nov 2 00:44:01 WIB 2022,8.3,14.94,34
Wed Nov 2 00:45:02 WIB 2022,8.5,14.94,34
Wed Nov 2 00:46:01 WIB 2022,7.2,14.94,34
Wed Nov 2 00:47:01 WIB 2022,11.1,14.95,34
Wed Nov 2 00:48:01 WIB 2022,8.3,14.94,34
Wed Nov 2 00:49:02 WIB 2022,5.7,14.92,34
Wed Nov 2 00:50:01 WIB 2022,22.1,14.92,34
Wed Nov 2 00:51:01 WIB 2022,7,14.94,34
Wed Nov 2 00:52:01 WIB 2022,8.6,14.94,34
Wed Nov 2 00:53:02 WIB 2022,8.3,14.94,34
Wed Nov 2 00:54:01 WIB 2022,11,14.94,34
Wed Nov 2 00:55:01 WIB 2022,5.6,14.94,34
Wed Nov 2 00:56:01 WIB 2022,9.9,14.94,34
Wed Nov 2 00:57:01 WIB 2022,7.1,14.94,34
Wed Nov 2 00:58:02 WIB 2022,7.2,14.94,34
Wed Nov 2 00:59:01 WIB 2022,8.5,14.94,34
Wed Nov 2 01:00:01 WIB 2022,48.2,15.12,34
Wed Nov 2 01:01:01 WIB 2022,26.3,14.94,34
Wed Nov 2 01:02:01 WIB 2022,5.6,14.94,34
Wed Nov 2 01:03:02 WIB 2022,22.5,14.94,34
Wed Nov 2 01:04:01 WIB 2022,7.2,14.94,34
Wed Nov 2 01:05:01 WIB 2022,52.9,15.23,34
Wed Nov 2 01:06:01 WIB 2022,76.7,21.69,34
Wed Nov 2 01:07:02 WIB 2022,75.8,21.74,34
Wed Nov 2 01:08:01 WIB 2022,9.9,14.94,34
Wed Nov 2 01:09:01 WIB 2022,5.6,14.94,34
Wed Nov 2 01:10:02 WIB 2022,20.8,14.95,34
Wed Nov 2 01:11:01 WIB 2022,7,14.94,34
Wed Nov 2 01:12:01 WIB 2022,7.1,14.94,34
Wed Nov 2 01:13:01 WIB 2022,10.8,14.94,34
Wed Nov 2 01:14:01 WIB 2022,7,14.95,34
Wed Nov 2 01:15:02 WIB 2022,5.7,14.94,34
Wed Nov 2 01:16:01 WIB 2022,25,14.95,34
Wed Nov 2 01:17:01 WIB 2022,5.7,14.95,34
Wed Nov 2 01:18:01 WIB 2022,9.7,14.95,34
Wed Nov 2 01:19:02 WIB 2022,7.2,14.95,34
Wed Nov 2 01:20:01 WIB 2022,17.9,14.95,34
Wed Nov 2 01:21:01 WIB 2022,8.3,14.94,34
Wed Nov 2 01:22:01 WIB 2022,8.5,14.95,34
Wed Nov 2 01:23:02 WIB 2022,7.2,14.95,34
Wed Nov 2 01:24:01 WIB 2022,9.7,14.95,34
Wed Nov 2 01:25:01 WIB 2022,11.3,14.95,34
Wed Nov 2 01:26:01 WIB 2022,7.1,14.94,34
Wed Nov 2 01:27:02 WIB 2022,8.6,14.95,34
Wed Nov 2 01:28:01 WIB 2022,4.3,14.95,34
Wed Nov 2 01:29:01 WIB 2022,9.7,14.94,34
Wed Nov 2 01:30:01 WIB 2022,21.1,14.95,34
Wed Nov 2 01:31:02 WIB 2022,9.7,14.95,34
Wed Nov 2 01:32:01 WIB 2022,7.1,14.95,34
Wed Nov 2 01:33:01 WIB 2022,7,14.95,34
Wed Nov 2 01:34:01 WIB 2022,5.7,14.95,34
Wed Nov 2 01:35:01 WIB 2022,8.6,14.94,34
Wed Nov 2 01:36:02 WIB 2022,7.2,14.95,34
Wed Nov 2 01:37:01 WIB 2022,6.9,14.95,34
Wed Nov 2 01:38:01 WIB 2022,5.6,14.94,34
Wed Nov 2 01:39:01 WIB 2022,8.5,14.94,34
Wed Nov 2 01:40:02 WIB 2022,20.3,14.95,34
Wed Nov 2 01:41:01 WIB 2022,7.1,14.94,34
Wed Nov 2 01:42:01 WIB 2022,7,14.94,34
Wed Nov 2 01:43:01 WIB 2022,8.5,14.94,34
Wed Nov 2 01:44:01 WIB 2022,7.1,14.95,34
Wed Nov 2 01:45:02 WIB 2022,8.5,14.95,34
Wed Nov 2 01:46:01 WIB 2022,11.1,14.95,34
Wed Nov 2 01:47:01 WIB 2022,7.2,14.95,34
Wed Nov 2 01:48:01 WIB 2022,9.9,14.95,34
Wed Nov 2 01:49:02 WIB 2022,9.7,14.95,34
Wed Nov 2 01:50:01 WIB 2022,18.7,14.95,34
Wed Nov 2 01:51:01 WIB 2022,7,14.94,34
Wed Nov 2 01:52:01 WIB 2022,8.3,14.94,34
Wed Nov 2 01:53:02 WIB 2022,11.1,14.95,34
Wed Nov 2 01:54:01 WIB 2022,9.7,14.95,34
Wed Nov 2 01:55:01 WIB 2022,17.9,14.95,34
Wed Nov 2 01:56:01 WIB 2022,11.4,14.94,34
Wed Nov 2 01:57:02 WIB 2022,7.4,14.94,34
Wed Nov 2 01:58:01 WIB 2022,5.6,14.95,34
Wed Nov 2 01:59:01 WIB 2022,9.9,14.95,34
Wed Nov 2 02:00:01 WIB 2022,47.3,15.14,34
Wed Nov 2 02:01:01 WIB 2022,21.3,14.96,34
Wed Nov 2 02:02:02 WIB 2022,12.3,14.95,34
Wed Nov 2 02:03:01 WIB 2022,5.7,14.95,34
Wed Nov 2 02:04:01 WIB 2022,9.7,14.95,34
Wed Nov 2 02:05:01 WIB 2022,51.4,15.22,34
Wed Nov 2 02:06:02 WIB 2022,53.9,21.69,34
Wed Nov 2 02:07:01 WIB 2022,76.1,21.75,34
Wed Nov 2 02:08:01 WIB 2022,76.8,21.75,34
Wed Nov 2 02:09:02 WIB 2022,9.6,14.95,34
Wed Nov 2 02:10:01 WIB 2022,17.6,14.97,34
Wed Nov 2 02:11:01 WIB 2022,5.6,14.97,34
